HMS Property ID,Dispose Date,Address Line1,Address Line2,City,County,Post Code,Locality1,Locality2,Locality3,Locality4,DwellingCode,post_preamble
ABRAHA002000,NULL, Flat 20 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 20
ABRAHA002100,NULL, Flat 21 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 21
ABRAHA002200,NULL, Flat 22 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 22
ABRAHA002300,NULL, Flat 23 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 23
ABRAHA002400,NULL, Flat 24 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 24
ABRAHA002500,NULL, Flat 25 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 25
ABRAHA002600,NULL, Flat 26 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 26
ABRAHA002700,NULL, Flat 27 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 27
ABRAHA002800,NULL, Flat 28 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 28
ABRAHA002900,NULL, Flat 29 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 29
ABRAHA003000,NULL, Flat 30 Abraham Fisher House,258 Grantham Road,London                                            ,London                                            ,E12 5NG,EF ,226,,,3,Flat 30
ACANTH000009,NULL, Flat 9 Acanthus Road,London,                                                  ,                                                  ,SW11 5TY,SF ,233,,,3,Flat 9
ADAMARIA0001,NULL, Flat 1 Ada Maria Court,22 James Voller Way,Shadwell                                          ,London                                            ,E1 2PJ..,EF ,231,,,3,Flat 1
ADAMARIA0002,NULL, Flat 2 Ada Maria Court,22 James Voller Way,Shadwell                                          ,London                                            ,E1 2PJ..,EF ,231,,,3,Flat 2
ADAMARIA0003,NULL, Flat 3 Ada Maria Court,22 James Voller Way,Shadwell                                          ,London                                            ,E1 2PJ..,EF ,231,,,3,Flat 3
ADAMARIA0004,NULL, Flat 4 Ada Maria Court,22 James Voller Way,Shadwell                                          ,London                                            ,E1 2PJ..,EF ,231,,,3,Flat 4
ADAMARIA0005,NULL, Flat 5 Ada Maria Court,22 James Voller Way,Shadwell                                          ,London                                            ,E1 2PJ..,EF ,231,,,3,Flat 5
ADAMARIA0006,NULL, Flat 6 Ada Maria Court,22 James Voller Way,Shadwell                                          ,London                                            ,E1 2PJ..,EF ,231,,,3,Flat 6
ADAMARIA0007,NULL, Flat 7 Ada Maria Court,22 James Voller Way,Shadwell                                          ,London                                            ,E1 2PJ..,EF ,231,,,3,Flat 7
ADMANS011600,NULL,116  Admaston Road,London,                                                  ,                                                  ,SE18 2TF,EF ,212,,,3,
AGNEW00001A,NULL,2 Flat 1  Room A Agnew Road,London,                                                  ,                                                  ,SW23 1DJ,SF ,224,,,3,Flat 1  Room A
AGNEW00002B,NULL,2 Flat 1  Room B Agnew Road,London,                                                  ,                                                  ,SW23 1DJ,SF ,224,,,3,Flat 1  Room B
AINTRE002700,NULL,27  Aintree Avenue,London,                                                  ,                                                  ,E6 1PA,EF ,226,,,3,
ALASHS000100,NULL,1  Alastor House,Strattondale Street,London                                            ,London                                            ,E14 3HF,IF ,231,,,3,
ALASHS000200,NULL,2  Alastor House,Strattondale Street,London                                            ,London                                            ,E14 3HF,IF ,231,,,3,
ALASHS000300,NULL,3  Alastor House,Strattondale Street,London                                            ,London                                            ,E14 3HF,IF ,231,,,3,
ALASHS000400,NULL,4  Alastor House,Strattondale Street,London                                            ,London                                            ,E14 3HF,IF ,231,,,3,
ALASHS000500,NULL,5  Alastor House,Strattondale Street,London                                            ,London                                            ,E14 3HF,IF ,231,,,3,
ALASHS000600,NULL,6  Alastor House,Strattondale Street,London                                            ,London                                            ,E14 3HF,IF ,231,,,3,
ALBERT00004C,NULL,4 FLAT C Albert Square,London,                                                  ,                                                  ,SW8 1BU,SF ,223,,,3,FLAT C
