source_db_ref,name,search_name,manager_code,default_currency_code
148,Delta Point,148,ACTIV,GBP
149,Denver Road,149,ACTIV,GBP
150,Dew Grass Grove,150,ACTIV,GBP
151,Dial House,151,ACTIV,GBP
152,Doughty Street,152,ACTIV,GBP
153,Dunollie Road,153,ACTIV,GBP
154,Elderfield Road,154,ACTIV,GBP
155,Esther Randall Court,155,ACTIV,GBP
156,Eve House,156,ACTIV,GBP
157,Evens Patriot Square,157,ACTIV,GBP
158,Fairmead Road,158,ACTIV,GBP
159,Falkland Road,159,ACTIV,GBP
160,First Avenue,160,ACTIV,GBP
161,Frederick Street,161,ACTIV,GBP
162,Gallery House,162,ACTIV,GBP
163,Garlinge Court,163,ACTIV,GBP
164,Garlinge Road,164,ACTIV,GBP
165,George Scott House,165,ACTIV,GBP
166,Goodge Place,166,ACTIV,GBP
167,Gosfield Street,167,ACTIV,GBP
168,Gough Street,168,ACTIV,GBP
169,Grafton Road,169,ACTIV,GBP
170,Grays Inn Road,170,ACTIV,GBP
171,Great Chapel Street,171,ACTIV,GBP
172,Green Lane,172,ACTIV,GBP
173,Green Lanes,173,ACTIV,GBP
174,Greenham Mill,174,ACTIV,GBP
175,Greenland Road,175,ACTIV,GBP
176,Hampden Lane,176,ACTIV,GBP
177,Hampstead Road,177,ACTIV,GBP
178,Harbury Court,178,ACTIV,GBP
179,Harmood Street,179,ACTIV,GBP
180,Hatcham Park Road,180,ACTIV,GBP
181,Haverstock Hill,181,INACT,GBP
182,Hazlitt Court,182,ACTIV,GBP
183,Herbert Street,183,ACTIV,GBP
184,Hillier House,184,ACTIV,GBP
185,Hitchcock House,185,ACTIV,GBP
186,Holloway Road,186,ACTIV,GBP
187,Hornsey Road,187,ACTIV,GBP
188,Jamestown Road,188,ACTIV,GBP
189,Jerningham Road,189,INACT,GBP
190,John Wetherby & Thomas Frye,190,ACTIV,GBP
191,Kays Court,191,ACTIV,GBP
192,Kelly Street,192,ACTIV,GBP
193,Kidwells Close,193,ACTIV,GBP
194,Kings Arms Court,194,ACTIV,GBP
195,Kings Cross Road,195,ACTIV,GBP
196,Kings Terrace,196,ACTIV,GBP
197,Kingsbridge Estate,197,ACTIV,GBP
198,Langham Street,198,ACTIV,GBP
199,Lankaster Gardens Estate,199,ACTIV,GBP
200,Leigh Street,200,ACTIV,GBP
201,Leighton Grove,201,ACTIV,GBP
202,Leonard Place,202,ACTIV,GBP
203,Leyla House,203,ACTIV,GBP
204,Lismore Park,204,ACTIV,GBP
205,Lithos Road,205,ACTIV,GBP
206,Lodge Lane,206,ACTIV,GBP
207,Mansfield Road,207,ACTIV,GBP
208,Marchmont Street,208,ACTIV,GBP
209,Mare Street,209,ACTIV,GBP
210,Marlborough Road,210,ACTIV,GBP
211,Marquis Road,211,ACTIV,GBP
212,Marylands Road,212,ACTIV,GBP
213,Matthews Yard,213,ACTIV,GBP
214,Maygrove Road,214,ACTIV,GBP
215,Mercer Street,215,ACTIV,GBP
216,Mercers Road,216,ACTIV,GBP
217,Mitcham Lane,217,ACTIV,GBP
218,Montpelier Grove,218,ACTIV,GBP
219,Mornington Crescent,219,ACTIV,GBP
220,Nebula Court,220,ACTIV,GBP
221,Norbiton Avenue,221,ACTIV,GBP
222,North Villas,222,ACTIV,GBP
223,Northdown Street,223,ACTIV,GBP
224,Oak House,224,ACTIV,GBP
225,Oakford Road,225,ACTIV,GBP
226,Oakley Square,226,ACTIV,GBP
227,Ospringe Road,227,ACTIV,GBP
228,Pakenham Street,228,ACTIV,GBP
229,Park Road,229,ACTIV,GBP
230,Petros Gardens,230,ACTIV,GBP
231,Point One Apartments,231,ACTIV,GBP
232,Priory Heights,232,ACTIV,GBP
233,Rick Roberts Way,233,ACTIV,GBP
234,Riding House Street,234,ACTIV,GBP
235,Rifle Street,235,ACTIV,GBP
236,Ripton,236,ACTIV,GBP
237,Rodmarton Street,237,ACTIV,GBP
238,Rokeby House,238,ACTIV,GBP
239,Royal College Street,239,ACTIV,GBP
240,Rubicon Court,240,ACTIV,GBP
241,Salcombe Lodge,241,ACTIV,GBP
242,Samuda Estate,242,ACTIV,GBP
243,Selcraig House,243,ACTIV,GBP
244,Seymour Place,244,ACTIV,GBP
245,Shelton Street,245,ACTIV,GBP
